CLOSEST AIRPORT,COUNTRY
london,united kingdom
tokyo,japan
phoenix ,united states of america
edinburgh,scotland
auckland,new zealand
los angeles,united states of america
adelaide,australia
tirana,albania
accra,ghana
oslo,norway
sao luis,brazil
thimpu,bhutan
kochi,india
greenville,united states of america
tucson,united states of america
martinique,martinique
windhoek,namibia
anchorage ,united states of america
fukuoka,japan
bali,indonesia
guadalajara,mexico
takhamalt ,algeria
tbilisi,georgia
toulouse,france
hanoi,vietnam
salalah,oman
havana,cuba
copenhagen,denmark
uluru,australia
panama city,panama
barcelona,spain
charleston,united states of america
cayos cochinos,honduras
paris,france
istanbul,turkey
taipei,taiwan
medellin,colombia
geneva,switzerland
athens,greece
louisville,united states of america
manaus,brazil
vilnius,lithuania
atlanta,united states of america
madrid,spain
denver,united states of america
riohacha,colombia
milan,italy
bozeman,united states of america
montreal,canada
new haven,united states of america
